Ghelo_harsh,@SwiggyCares i paid from paytm and not any credit received from your site.
s_hingorani,"Buy Men Accessories Online..
Must Haves....
Available On---||
@amazon @flipkart @gofynd @limeroad @myntra @paytm… https://t.co/RXVDLcQ9D3"
DharmaMovies,"The last few days of 2019... spend it with the Batras! #GoodNewwz in cinemas TOMORROW, book your tickets NOW!💃… https://t.co/SlZKFsHI26"
Paytmcare,"@DuttaMimli Hi, Please share with us the Paytm query number or share with us the register mobile number and email i… https://t.co/Uecv3k6Z3C"
coolwinks_com,Bag the bestsellers before the year ends using PhonePe and Paytm at Coolwinks checkout page to get Flat Rs. 1000* C… https://t.co/6FJdbz7JJZ
rishiravalakki,"The smiles are already spreading wide!😃
#GoodNewwz in cinemas TOMORROW, book your tickets now!… https://t.co/20AMw94XJb"
bhargavadhawal,@Paytm @Paytmcare @nitin_gadkari @MORTHIndia @PMOIndia @DainikBhaskarMP @JagranNews @TOIIndiaNews @IndiaToday… https://t.co/7on7tmgkiR
urbandictionary,@verendhar_viru PayTM: Paying for a group's bill of services with a credit or d... https://t.co/xbIhNyu7Kq https://t.co/f7lWzHm47o
advani_kiara,"Spend your last few days of this decade with US, the Batras! #GoodNewwz in cinemas TOMORROW, book your tickets now!… https://t.co/8sHknpKL60"
PaytmBusiness,"@misterjain Hello! Thank you for your interest in Business with Paytm, India's most popular payments platform. We h… https://t.co/D1tNIKULJv"
Bollywo37423496,"#GoodNewwz in cinemas TOMORROW, book your tickets now!

https://t.co/d2aLxKhnwK
https://t.co/NZKkXnAjwn… https://t.co/KqusDe0JTp"
amitchy09,@NHAISocialmedia @FASTag_NETC if this will be customer first experience where customer is getting charged twice the… https://t.co/5kVKyL22je
dhirajyadav08,@Paytm26760918 Dear @Paytm is this @Paytm26760918 user is authentic??
sPuNk_11,"@paytmbankcare @Paytm @Paytmcare
that information is already available with me but as per your app's display I want… https://t.co/ncevxphWYD"
SumanDa11701650,What's going on @Paytm @PaytmMall with my order... Again courier service canceled my order....
akshaykumar,"The smiles are already spreading wide!😃
#GoodNewwz in cinemas TOMORROW, book your tickets now!… https://t.co/QFwYKsGPkv"
Bapibal1,@FilmyCurry @DharmaMovies @akshaykumar @diljitdosanjh @advani_kiara @karanjohar @ShashankKhaitan @apoorvamehta18… https://t.co/d32Nc6Gl10
Bapibal1,"@addatoday @akshaykumar @diljitdosanjh @advani_kiara #GoodNewwz in cinemas 27th Dec, book your tickets now!… https://t.co/BwXMkTCzr6"
deaddeal4,@Paytm plzz sir how much time u r taken for refund
FarhanNadaf,@paytmbankcare You’re  just wasting my time by saying do this &amp; that. If you don’t want to close or just harass the… https://t.co/OqbbJz7kBX
FarhanNadaf,@paytmbankcare Your just wasting my time by saying do this &amp; that. If you don’t want to close or just harass the cu… https://t.co/Vw72dmnxNN
PrasadButte,@paytmbankcare Again today could not pay via fuel voucher @Paytm @vijayshekhar
Paytmcare,"@Shibu_Rana Hi, we are keen to help. Kindly elaborate your concern along with your Paytm registered mobile number a… https://t.co/ft2iTtgtt8"
inara_mii,"Due to some kyc issue sharan dad phone pe  number is not working kindly plz forward  payments to 

8884319490 ( tez… https://t.co/DhtGc7jiST"
GadipalliRao,Paytm only https://t.co/ATpSVypjL7
sumitjindal07,"@Paytmcare Received one more today..
Your Paytm Bank Savings A/C 9198xxxxxxxx will become dormant on 25-03-20 due t… https://t.co/M9z66oqOjc"
zomatocare,@basantjhawar18 Hey Basant. Please get in touch with the paytm team for any cashback related queries.
Vikashmyfriend1,Paytm and travel point world are not giving reply.
Paytmcare,"@shilpa_bhosekar Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages.… https://t.co/354dWB4clr"
Vikashmyfriend1,". Accident took place at around 3 am near udholi, up. I was carried to barabanki zila hospital.
No doctor was avail… https://t.co/1mKM42WGpZ"
EliteWebTech,@Paytmcare @Paytm  I raised a concern for money theft from my wallet. Your team has taken details from me and to my… https://t.co/v9p8IcOzIk
Gautam4488,Buying fastag from @Paytm  was worst experience after continuous calls to customer care  no one responded  sharing… https://t.co/MSkSIUS5mA
harshitkumar5,Expecting that @Paytmcare @Paytm  must have got time to revert on mail sent by Navi Mumbai Cybercell .@HDFC_Bank am… https://t.co/P9wkspjkVZ
basantjhawar18,@ZomatoIN  sir a order food form k bhagatara chand i use promo code homecoming also payment of order by paytm. But… https://t.co/pO8ourlNcr
HimanshuReviews,"Paytm wants to launch its payments bank in to a small finance bank .

#digitallife #startup #india #updates #software #skill #paytm"
dhirajyadav08,"Dear @Paytm are you making joke with me? 
For the past two days i have been trying to transfer money from my wallet… https://t.co/tj7qexppLv"
johnmohan06,"@Paytm Despite of sufficient balance in our wallet, we are unable to use Paytm #FASTag !! #BlacklistFastag is the h… https://t.co/Cxzozw6Qra"
FarhanNadaf,"It’s so stupid @Paytmcare 
When I’m saying I don’t need it then why are you forcing me to use it 🤷🏻‍♂️
Don’t you ha… https://t.co/yXXTnfiJPZ"
DeeepFriedLife,"@Paytm this does not look either professional or ethical:
1. You give the user an option to buy fastag
2. Deduct th… https://t.co/U8HXyn4PEY"
Prince_bhartiye,"@Paytm My issues remains the same when you cancelled the Fastag delivery, how come my money is getting deducted eve… https://t.co/ogvnxq449x"
nareannaidu,It's been a month I have ordered the #FASTag till now it wasn't delivered yet.. its ashamed to use @Paytm n they r… https://t.co/FhB4gZ4OZI
mangukiadm,@BCCIdomestic @Paytm @BCCIdomestic @Paytm What time are the matches starting?? @hotstartweets When is the live streaming starting??
paytmbankcare,"@DesiDude46 Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with… https://t.co/qeDgoWZUDT"
shilpa_bhosekar,@Paytmcare @Paytm and another sms https://t.co/AQRDzTfleY
justlalit,A friend got hospitalized. Currently out of job. Has two kids. He needs some financial assistance. Kindly contribut… https://t.co/fKVim90wHK
paytmbankcare,"@harimoole Hi Hariprasad! Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief d… https://t.co/LufpOfzQf7"
nishtha__,"@bluemountro The boy should choose Path 'C'

@_ParasParmar 
@MeetaliSharma52 

@bluemountro 

#quiz #paytm #cash… https://t.co/IxVdQnIptL"
sinagarajan,@Paytmcare Is there any fuel surcharge waiver for using Paytm first credit card ?
Shibu_Rana,@Paytm I have raised a ticket under your 24x7 help option on 22nd and still waiting for the response.
BWHitesh,"@paytmbankcare It came from BPPAYKYC , take strict action .. and also investgate how they getting paytm users info ??"
paytmbankcare,@JBK_005 linked to your UPI address 3. Either tap on 'i' present at the corner of your bank name and click on Remov… https://t.co/AwAHR2CR34
BijanNandi3,@PaytmCybercell @PaytmBank @Paytm @Paytmcare @PaytmMoney @RBI Paytm customer care are unprofessional.Very wrost beh… https://t.co/alISyAaA7M
paytmbankcare,"@JBK_005 Hi, Hope you’re doing fine! We understand that you want to delete your Paytm BHIM UPI bank account. To do… https://t.co/cAoNTJShZ4"
gskasar,@MumbaiPolice This number 8250919209 is doing PayTM KYC fraud. It seems to be from Kolkata. Take some action against it. @KolkataPolice
Mango_Insaan21,"@Uber_Support To top it up, another driver asks for my destination and whether I am paying by cash or Paytm and tel… https://t.co/h1oO0LkMSW"
BWHitesh,"@paytmbankcare PAYTM
WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME
COMPLETE  YOUR PAYTM KYC  PAYTM OFFICE PH 6295405794"
Zoook_India,"#Zoook Rocker #ThunderPlus 40 watts with Remote &amp; Wireless Mic🎤

Buy today👇
@flipkart 👉 https://t.co/py9S4hoYxk… https://t.co/4DPeegFQ3Y"
SureshB70410075,@my_rajasthan @RajCMO dear Sir/ Madam I am visiting Sajjangarh wildlife sanctuary was complled to pay the entry fee… https://t.co/bhvFqU9PJL
Paytmcare,"@minkal61009587 Hi, We have responded to your concern via query reference number 15*****03, please check your Paytm… https://t.co/JhHM9zP9ZM"
iamnaveen_,"@vijayshekhar And all that is paytm
And all that is possibility in to reach $1k billion dollars - vent.
And all that is vijay"
am_I_Asim,@Paytm why are you guys charging convenience fee for using Paytm balance? https://t.co/MyTJmzFAJe
Paytmcare,"@priyankt Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreove… https://t.co/kaUDx48GJs"
harimoole,"@Paytmcare @paytmbankcare 
Respond to my DMs
Don't just act like you are responding .
Experiencing worst delivery p… https://t.co/IJXC0002aJ"
goldbelt_appaji,@imarun777 Ye who supporteth his holyness on his houleness and liveth on false promises will also be thrown in hell… https://t.co/2WBCrZdkYQ
paytmbankcare,"@vk9934860500 Hi Vineet , Thank you for contacting Paytm Fastag Support Team. This is in regard with your concern r… https://t.co/kKjdQXRTcF"
pism198,@Paytm @Paytmcare @PaytmCybercell @paytminsider Fastag balance is getting deducted daily from different states. I s… https://t.co/TFrIurAnnr
Paytmcare,"@avipatilkop Hi, Paytm has no relation whatsoever with such links/messages and/or offers. We would suggest you to n… https://t.co/Gu4w6QCNSX"
kashish45taneja,"@paytmbankcare @Paytmcare @Paytm If it has been shipped, the thing tht you've been saying since 10 days. Thn why it… https://t.co/tHd7tQammR"
priyankt,"PayTM team, please take cognizance. I'm guessing this is a hoax message. Request you to take appropriate action on… https://t.co/vj7zVhlzu9"
raghav_kogta,Are you making your customers fool @PaytmTravel . @Paytm travel shows zero charge of train tickets booking and at p… https://t.co/o7wdNF7JuX
kanhaiy30741041,@BCCI @Paytm what a amazing movement it's
Paytmcare,"@sharma1834 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreo… https://t.co/UfvZZMBuRe"
rashidtky,"Happy to share that we @GenRobotic listed in top 50 (#23) startups of India along with Ola and Paytm.

Thanks to al… https://t.co/Snq4le8tuA"
Rohit95544020,@PaytmMoney @Paytm @Paytm  i am very disheartend by the fact the fact that in Christmas when i want to send my fami… https://t.co/lp3lAzMS4B
paytmbankcare,"@Enkayen ""Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with s… https://t.co/qVFSOY1mvy"
amuthuk59186355,"@PaytmMoney @vijayshekhar @EdelweissAMC Paytm Fastag Fraud 
Dear Sir,
I was apply fastag thru PAYtm on date of 26 N… https://t.co/oBY3B26EDF"
paytmbankcare,"@Sumeshwar_ Hi Sumeshwar , Thank you for contacting Paytm Fastag Support Team. This is in regard with your concern… https://t.co/vv8LaXCC6Y"
triptajmahal,@Paytmcare paid in cash but amount deducted from my paytm wallet as well.
Chinmay1361,2 days ago i send it and called you also..so where is the resolution. you  asked for 48 hours. how can customer use… https://t.co/grK0Kmmx9X
sharma1834,@Paytm @Paytmcare today I have received fake sms regarding of KYC.kindly take action https://t.co/ZZk0nvOzbT
Paytmcare,"@mkohli3 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreover… https://t.co/zxgfyfISIO"
paytmbankcare,@vijuhosur Hi Vijaya! We regret the inconvenience caused to you. We are getting higher than usual call volume and i… https://t.co/DEuaQqP2IX
shub_maheshwari,"@OfficeOfNG  @NHAISocialmedia  
Double debit of toll
I entered Mum-pun expressway via khopoli &amp; just b4 entering to… https://t.co/W4PhM7S68q"
bhargavpathak,"@paytmbankcare @Paytm @Paytmcare 

Awaiting your response on FasTag price discrimination. No response till yet.… https://t.co/1jGs3CuvDQ"
mkohli3,"Hello @Paytm this no. +91 6289-739890 is asking for account renewal.
Please do something so that other couldn’t be… https://t.co/sQKmYuOmsk"
Sivakum81878164,@UttarandhraNow Same Like you are giving coverage to Paytm party https://t.co/4rzvYvAbr8
karthikdosa29,"@Paytmcare I have purchased a fast tag and after a long time it got delivered. 

Order No. 9904348061

This fast ta… https://t.co/AeusyYImAk"
Bhargavrughani,@Paytm I have raised a query since 10-15 days but still it is not resolved. Can you please help....
Paytmcare,"@GouravS40497061 Hi Gourav, I regret any unpleasant experience you may have had. Please provide me some more detail… https://t.co/5IDO96fwVN"
Bhushanadhau1,"Witness The Biggest #GoodNewwz Of The Year In Cinemas From Tomorrow, 
book your tickets now!… https://t.co/GC0GCYyt6k"
gurupada195,"@Paytm sir I wanted to buy a redeem code for google play store but unable to do so, I find no icon for that. Please help."
Madhumathy15,"@bluemountro PATH C

#quiz #paytm #cash #cashprize #winner #competition #chance #water #health #healthy #excited… https://t.co/cCIKZe8nCP"
paytmbankcare,@Krishan29584624 You can also contact us through our in-app support section at https://t.co/d97OFba48j or let us kn… https://t.co/4fG1W9Q9L2
ChandirPrakash,@Paytm @Paytmcare any representative available pl no call received by anyone as promised
RaghulHero2003,"@Paytm @PaytmBank @paytmbankcare @paytmbankcare 
(2/2)  provided till date . Already have sent the RC and Barcode o… https://t.co/sqtQeI57yc"
RaghulHero2003,"@Paytm @paytmbankcare @Paytmcare @PaytmBank 
(1/2)Ordered two fastags and got both of them delivered but only 1 of… https://t.co/DC3WgGJrJX"
ramen_mukherjee,@Citi @Citibank @AskCiti @Paytm @Paytmcare : When you are going to show the expenses charged on credit cards? Even… https://t.co/mw8psM4q7I
MITHUNB44878703,"@PaytmTravel @Paytmcare 

6 days already goes,, refund still under processing..
Airline says they refunded booking… https://t.co/TosPRXiApE"
Balvind51548056,"Download MobCandy app and get free Paypal/Paytm cash upto Rs.500 for OfferTasks, Referral &amp; Games. Click here:… https://t.co/jJ2Uhpkzhg"
paytmbankcare,"@pateldeep159 Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays wi… https://t.co/eXIq8YlIiB"
Balvind51548056,"Download MobCandy app and get free Paypal/Paytm cash upto Rs.500 for OfferTasks, Referral &amp; Games. Click here: https://t.co/QvX8IRjyVQ"
akg0303,"@paytmbankcare @Paytm @NHAIINDIA @nitin_gadkari 
DM done as requested. Please check the details and resolve it ASAP."
theimpulson,@GooglePlay can you please fix this bug. It has been existing for a long time and is damn annoying when I am using… https://t.co/9QfiUSgOfI
paytmbankcare,"@SureshKumar1881 Hi Suresh, we are unable to fetch details from the given information. Kindly share the Paytm order… https://t.co/QZj1ilKzbO"
saikiran26690,Fastag with paytm is totally fraud... please don’t use it. The issues will not get resolved as well.  I didn’t even… https://t.co/ZFwUPftaH0
sharmaabs94,@Paytmcare why can you not have a little more prompt &amp; better customer service! You keep Crying secure secure all t… https://t.co/mq0Y7OQ8s4
SameerG30405887,@PaytmCybercell fraudulent transaction  happened through paytm account linked to 9739755833(satishkumargupta@yahoo.… https://t.co/leQLgbp9eB
nn_tiwari,@zomatocare Thanks for ur quick action. I deleted the image attached as some one picked my identity and called from… https://t.co/Mqa5YICflz
DeccanLegion,"Calling for the traveling fans! 

The club has arranged a bus free of cost for the Mumbai game. So request everyone… https://t.co/KMRz0srxle"
bluemountro,"In this, the boy wants to drink the healthy water from alkaline RO water purifier but not able to find the right pa… https://t.co/4o3Ay38fuE"
SurinderFilms,"Experience the next level of adventure at theatres near you!
#SagardwipeyJawkerDhan
Book your tickets here :… https://t.co/1Ti1kUWXGC"
girishku,@Paytmcare @paytmmallcare ships fastag that is not mine. Barcode number is different. Struggling to get support for… https://t.co/7iJaZfitda
Sandhya4KAtmos,"#AvaneSrimanNarayana from tomorrow #ASN @AvaneNarayana #RakshitShetty

@Pushkara_M
 
@SachinBRavi

Book tickets her… https://t.co/ShLf093RLt"
ankurg,Does Paytm have zero ownership when money gets transferred out without my sharing OTP and in total fraud way? @vijayshekhar @RazdanTarun
nav_21_,@BCCIdomestic @Paytm Time to btao bey chaman
iA_ABHISHEK,@paytmbankcare Nah I don't think so you are being diligent and definitely not being honest here. Screenshot from 12… https://t.co/lXCA07pja9
ManasaRGBLaser,"#AvaneSrimanNarayana from tomorrow

@Pushkara_M @SachinBRavi 

Book tickets here: https://t.co/yUS5OO5kpZ… https://t.co/0Pt0SBCrH1"
ankurg,@Paytm @vijayshekhar @CPDelhi amazed how callous is Paytm about fraud happening with its customers? Why Paytm is no… https://t.co/EF3wWbHPRr
sena_akshay,@Prasadmandru1 @_NenokkadinE_ @Just_Do__it_ 5 mints video pedithey no 5rs in paytm
paytmbankcare,@krishnaaquatech Thank you for contacting Paytm Fastag Support Team. We'd be happy to help. In order to avail disco… https://t.co/Bqn4MVqH8S
CharchitK11,"#Shame @Paytm @paytmbankcare
please resolved this issue. https://t.co/nhnoUyXjNY"
tech_akpandey,@vijayshekhar @RBI @nitin_gadkari @PMOIndia @Paytmcare I have never seen a fraud company like Paytm. Why don't you… https://t.co/ZgQVeaX9g4
sharmaabs94,@PaytmCybercell i need support...some dude called me claiming to be a Paytm executive and got my number registered… https://t.co/sQiBW36j0X
sharmaabs94,@PaytmTravelCare Some random person is calling me &amp; trying to get my number registered to upi &amp; he is sending me ra… https://t.co/SFdpVOKzPH
ImKhanabadosh,"PayTm is selling fasttags but not enabling them even in 10days.

Not good customer servicer, in this time   of comp… https://t.co/pldQLRhQ6j"
BCCIdomestic,"Lunch break: Maharashtra - 91/3 in 33.6 overs  (R D Gaikwad 42 off 100, A R Bawane 13 off 62) #MAHvCHH @paytm #RanjiTrophy"
GouravS40497061,"@Paytmcare 
This two transactions with Zomato are not done by me and I have tried my best explaing this to Paytm ca… https://t.co/UC6FsG0Q0z"
BharatJaiin,"#FY19 results of Start-up companies:
#Flipkart: 4234 Cr revenue &amp; 1624 Cr loss.
#Amazon: 7594Cr revenue &amp; 5685 Cr l… https://t.co/aK9aBMLC3Z"
BharatIndiaTime,"when i said please deliver my order ORD00535452 I will do paytm on the spot. 

then delivery agent said when I rece… https://t.co/fHVhmMXytJ"
BharatIndiaTime,"@Grofers 
Hi I have ordered with this order Id : ORD00535452. your delivery agent call me from this No.+91 81308 25… https://t.co/SZiVwg3YtI"
abhisekmauryaa,"It's getting crazier! 2 days to go!
#GoodNewwz in cinemas 27th Dec, book your tickets now!
https://t.co/VKq72w7dvl… https://t.co/1TtFVFXd29"
aliyanaushad,"@udemysupport hey, I paid for a course and the money has been deducted from my Paytm wallet yet the course has not… https://t.co/89W4jpiwmv"
nitin3500,"DO NOT BUY FASTAGS FROM PAYTM, I have shared my documents 3 times, still whenever i call Paytm they ask for documen… https://t.co/7Lb8rdaZIW"
qzindia,"PhonePe beats all rivals when it comes to error-free, smooth digital payments in India
https://t.co/e93H2KvMA0"
vijuhosur,"@Paytm worst customer service from #paytm 
I have raised an issue wrt to #FASTag through mail, but except auto-gene… https://t.co/C0hpuft1k2"
RakeshSB,@suhasinih I dint know Paytm is in Canada.
RupanDey37,I'm trying to book a Train Ticket from Yesterday through PayTm app but was unable to do it due to some errors. The… https://t.co/jhs2J7fobg
jayaraman_kal,@WonderWoman991 To me @Paytm @delhivery seems the worst amongst worse. Losses in these 2 exceed their total revenue.
vishalkaradagi,@Paytmcare @Paytm Your customer contact support is really bad!! I tell one thing and they send me some other thing!… https://t.co/BPodSObxdv
BCCIdomestic,"WICKET! Over: 58.3 K B Arun Karthick 86(96) ct Sailo b Sumit, Pondicherry 286/4 #CAMvCAP @paytm #RanjiTrophy"
mangesh1420,@Paytmcare @Paytm @FASTag_NETC  Paytm team your system was not working to register a complete of fastag amount issu… https://t.co/cM7FxvQ90c
thebhukkadbong,@Paytmcare Open Query No. 150305184 and 150304919. I have spoken to Both Jio care and PayTm Care. Jio Care has prov… https://t.co/rGjI6difYD
paytmbankcare,@anuraagsharrma 3) Add money to Paytm wallet for automatic deduction of applicable toll charges at all NHAI toll pl… https://t.co/XvKXck1Y8a
paytmbankcare,@anuraagsharrma Hi Anuraag! Thank you for contacting Paytm Fastag Support Team. We are glad you reached out to us h… https://t.co/Rk3X35L5zO
Enkayen,"@Paytm pl refund me my money. I booked my Fastag in November, its still not been delivered. Since 15th you are send… https://t.co/G31tnw6ugY"
mangesh1420,@Paytm @nitin_gadkari @kolhe_amol @FASTag_NETC Hi Sir greetings fastag was good things but some how there was anoth… https://t.co/IkQIrvRxs1
shali_ravi,"@paytmbankcare @renusatti @Paytmcare @Paytm 

I have just called Customer care. Ms. Raveena (Floor Escalation Manag… https://t.co/imoJ2Vhqer"
OMG_ravikatwit,shame on @Flipkart @flipkartsupport even after written mail confirmation from flipkart for refund. Nothing being do… https://t.co/zokPervurl
Sumeshwar_,@vijayshekhar I ve ordered fasttag from paytm on 28 Nov &amp; I was regularly taking follow up for this with paytm care… https://t.co/sMWd46L1vi
paytmbankcare,"@anuraagsharrma Step -2: Make sure there is sufficient balance in you Paytm Wallet
Step -3: Enter dedicated FASTag… https://t.co/5CtXJBDV29"
ankurg,@vijayshekhar @Paytm why should I not file fir against Paytm for transferring out 1500 from my account? Why do i ne… https://t.co/5q2Qd8sx88
paytmbankcare,"@anuraagsharrma Hi Anuraag,
We are glad you reached out to us here reagrding Paytm Fastag services. Please follow t… https://t.co/jDIH7YqbPh"
Sumeshwar_,@renusatti I ve ordered fasttag from paytm on 28 Nov &amp; I was regularly taking follow up for this with paytm care &amp;… https://t.co/q2aEm8GNiB
thebhukkadbong,@JioCare @reliancejio @Paytmcare @Paytm  On 19th Dec 19 at 8:36am &amp; 9:51am I had made a transaction of Rs 101 each… https://t.co/WVgQR0X2g1
IamPSantra,"@IRCTCofficial @Paytm @PaytmBank 2nd time of the day,I faced this problem once again. https://t.co/ontAwDt7iL"
vibhorsaraswat,@paytmbankcare Hi @Paytm It has been more than 48 hours but still you have not resolved my issue. Can you please pr… https://t.co/s9xPdfIkJs
snandininl,@paytmbankcare When there was sufficient balance Rs150/- in fastag wallet and Rs446/- in paytm wallet how low balan… https://t.co/kxTTP51Y9Q
paytmbankcare,"@Kishan_plus Hi Kishan, as per the offer's TnC, Cashback for Win cashback worth ₹25 to ₹1000. Entire payment should… https://t.co/i1Czsbofds"
flyrock_,@SathyaNayak @Paytmcare @Paytm @NPCI_NPCI Also @NPCI_NPCI If Paytm is not able to tackle and recover from this so c… https://t.co/LVO0a2Veqz
flyrock_,@SathyaNayak @Paytmcare @Paytm @NPCI_NPCI Why is paytm delivering wrong tags to customers. Should not there be some… https://t.co/t3KYQfgnuG
flyrock_,@Paytmcare How can you copy paste same thing everywhere. Should you rather not put it in the bio of @Paytmcare I wa… https://t.co/s7XfEo4sEW
SathyaNayak,@flyrock_ @Paytmcare It won’t come soon. When it comes - hope you get the proper tag. I got a Fastag from @Paytm wh… https://t.co/NCPueDWcsp
JBK_005,@Paytmcare @Paytm I neeed your help and I dm about my issue please check it and reply thank you.
Kiishore_K,@kishorejk9 @YSRCParty Iam not like you paytm batch.i have identity
hot_amit,"Your app shows that my fast tag has been delivered to me on 18th Dec while till the date of today, I haven't receiv… https://t.co/TOVwRJVlsN"
SunilKu52285804,@BCCI @Paytm Ms dhoni Best caption
BlueRockhosting,"*Read more - https://t.co/vqCLV8jUWX

To pay via Paytm (for Android users only) - https://t.co/TgneGWTVW7"
wriksen,"Geometric handbag

Price: Rs 775

Size: 8 x 11.2 inches
Fabric: PU with acrylic

** Extra long chain given for carr… https://t.co/vUkyRrPxus"
abhisekpaliwal8,"Dear @IRCTCofficial, your mobile app #IRCTC_RailConnect become very complicated after recent update. too many ads p… https://t.co/0mzedXqbsd"
knowalittle,how to pay through paytm by scanning QR Code| Hindi https://t.co/TUXnlipOVP via @YouTube
Paytmcare,"@bindesh87 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreov… https://t.co/tP0hgDYrLs"
palwinder_g,@vijayshekhar @Paytm kindly refund me my fasttag money as you are not able to activate my card . I will be suing yo… https://t.co/5NOE3GWuTz
bindesh87,@Paytm so many of illegal person behalf of paytm kyc center calling to me. I had record the call. Please take such… https://t.co/FlSRVbxgPs
nawab_e_hyd,@TheTremor1991 Right side mai glass pe hai baghat singh ji ka sticker. I am to nationalists if my answer is correct… https://t.co/W5DgzH2qbi
BhardwajV21,@Paytmcare Dear paytm 13 days to go but fastag not active what are you doing? please clear to me if it's not possib… https://t.co/MBSRLQtJCL
sunilnain0,"@Paytm dear what is the problem with your FASTag 
You showing invalid tag at toll so we have to pay toll in cash an… https://t.co/bOIgfvvp3o"
eurojournalENG,Indian digital payments startup Paytm raises $1B in round led by T. Rowe Price https://t.co/dcQMkMOTp9
CyberTaters,@nch14404 @RBI @vijayshekhar Never do shopping via Paytm. Paytm is secured shelter for potato criminals.
mamtavashishtha,@paytmcare @nch14404 @RBI @vijayshekhar Never do shopping via Paytm. Paytm is secured shelter for cyber criminals.
yadav_ajaykumar,"@Paytm @Paytmcare @PaytmCybercell @PMOIndia @narendramodi

Paytm is not safe i dont understatd how is he allow to f… https://t.co/CxXsS2G4uQ"
roshangeorgev,"Very bad, forcefully making car buyers to buy Paytm fastags, yet not allowing to track the balance in account. Cust… https://t.co/0nn2Eypy7B"
nitin3500,"@nitin_gadkari Sir, I have paid for the fastag, given all the required documents(3 times) , still have to wait in l… https://t.co/jMiwv1vve0"
Meghu911,@BCCI @Paytm Congratulations
GafarRana231332,#paytm customer care number /:06203390719/: all UPI money transfer KYC bank UPI problem solver please contact toll-… https://t.co/JiEtMycnng
Dhinesh21401456,Best Earning App Hago Money Plant  | ADD paytm cash ₹50 Daily | cool தமிழா https://t.co/hXNb6ajfOD via @YouTube
anuraagsharrma,"Thankyou @Paytm , received #FASTag . Any other steps apart from fixing the same to windshield @Paytmcare ???"
mukeshgupta259,This was completely unexpected @Paytm @PaytmFirst https://t.co/C11uQD12uf https://t.co/aa5zQjrXLN
NaveenJKumar280,"@Paytmcare Hi I have done R-Wallet recharge through Paytm App. Amount is debited from my bank account,  however wal… https://t.co/IRRh5kmgKi"
balharaabhishek,@PaytmBuildIndia @Paytm @Paytmcare why your policies are still not clear about FAST Tag. I request people to think… https://t.co/RY9FFVr3VH
adarshshroff98,@sallu2292 @Paytm @MumbaiPolice They even reached my home.really worried 😟. https://t.co/3CgjTgKKmz
naveen0783,"@Flipkart @FlipkartSellers please help on the below site as it is cheating with people via @Paytm .
Plz help me. https://t.co/oiCmp2ZfYI"
AshishM64662365,"@oyorooms Didn’t provide me with breakfast, didn’t even send my paytm cashback, neither you people are calling me b… https://t.co/bJyZvQdUGE"
rinku_views,"@MirchiSayema @Paytm Sayema thanks. My relative was duped ,wish he had seen your advisory.

Fraudsters call only th… https://t.co/XuxAMlVHpV"
krishnaaquatech,Why they deducted these amount at my local toll plaza ( Navsari ) ? It's one kind of digital robbery ! They deducte… https://t.co/0BDSkHpTQM
rinku_views,"@ExpressTechie @Paytm But why these frauds call only those paytm users who have good balance .
It's a insider job."
AnilKhaitan2,@narendramodi @AnilKhaitan2 Thank you very much PayTm for supporting the cause of #StartUps in your support to#Asso… https://t.co/mabWVVPKxy
SureshKumar1881,@AnkitArora136 @vijayshekhar Let me add one point here some time back I did transfer some 400odd ruppees from my qu… https://t.co/5l2B7WP9BH
isrgrajan,"How to Transfer Money from PayTm Wallet to PayTm Bank Without any Transaction Charges?

See:… https://t.co/BA6frmhZtt"
mamtavashishtha,"tkt#147279726.
Even after knowing that one of your business partner is a fraud you niether took any action nor you… https://t.co/1PTOyaIRef"
mamtavashishtha,@vijayshekhar sir Paytm customer care has become defunct. I am suffering for last 6 months. Paytm is saving cyber c… https://t.co/x9ZN2YX0Ig
mamtavashishtha,"@Paytmcare Merchant details are required not my details. Paytm support criminals.
The most irresponsible company."
bhakt_super,@abhijitmajumder WHAT AN IDIOT WHY IS SHE SAYING TO GIVE WRONG INFORMATION AS IF MODIJI DOESN'T ALREADY HAVE ALL TH… https://t.co/kz3SJjjZ2X
LiveFromALounge,#Paytm Rupay Lounge Access on Debit Cards to be discontinued in January 2020 : https://t.co/lBwTOksama by Ajay https://t.co/zdH9ooXtjp
kanojiya1neeraj,"#paytm! customer care number=
6290626722=all problem solve 
24 hours available safe https://t.co/IOOEnNKSWF"
paytmbankcare,"@RavinderACCA Hi, Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays wi… https://t.co/dJURqjoSQM"
paytmcanada,Happy holidays Paytm’ers!! ❤️🎄
paytmbankcare,"@Neetin_Hedau We would request you to track your order using Paytm App. If you need further assistance, please cont… https://t.co/lmbWUBRrz2"
